                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     91,                0.42897,                0.21785,                0.84075,                0.97988,                0.97734,                0.98856,                0.85776,                0.56353,                0.25989,                0.90494,             0.00015576,             0.00015576,             0.00015576
                     92,                0.42141,                0.21362,                0.83656,                0.98497,                  0.971,                 0.9883,                0.85848,                 0.5634,                0.26138,                0.90532,             0.00014161,             0.00014161,             0.00014161
                     93,                0.41736,                0.21151,                0.83534,                0.98127,                0.97451,                0.98848,                0.85977,                0.56441,                0.26199,                0.90605,             0.00012747,             0.00012747,             0.00012747
                     94,                0.41526,                   0.21,                0.83415,                0.98396,                0.97326,                0.98813,                0.85947,                0.56384,                0.26219,                0.90568,             0.00011332,             0.00011332,             0.00011332
                     95,                0.40915,                0.20681,                  0.832,                0.98317,                0.97556,                0.98885,                0.86005,                0.56493,                0.26015,                0.90839,             9.9173e-05,             9.9173e-05,             9.9173e-05
                     96,                0.40682,                0.20695,                0.83328,                0.98447,                0.97422,                0.98878,                0.86059,                0.56414,                0.25914,                0.90817,             8.5026e-05,             8.5026e-05,             8.5026e-05
                     97,                 0.4048,                0.20534,                0.83012,                0.98456,                0.97447,                0.98846,                0.86142,                0.56363,                0.25876,                0.90822,             7.0878e-05,             7.0878e-05,             7.0878e-05
                     98,                0.40278,                 0.2041,                0.83226,                0.98661,                0.97165,                0.98836,                0.86044,                0.56343,                0.25856,                0.90853,             5.6731e-05,             5.6731e-05,             5.6731e-05
                     99,                 0.3997,                0.20262,                0.83312,                0.98656,                0.97162,                 0.9884,                0.86066,                0.56355,                0.25904,                0.90846,             4.2584e-05,             4.2584e-05,             4.2584e-05
                    100,                 0.3991,                0.20102,                0.83259,                0.98521,                0.97316,                0.98857,                0.85984,                0.56334,                0.25965,                0.90835,             2.8437e-05,             2.8437e-05,             2.8437e-05
